id,Concorda,DRs,Cidade,serie,Idade,etapa,Sexo,Cor_da_pele,Escala_1_1,Escala_1_2,Escala_1_3,Escala_1_4,Escala_1_5,Escala_1_6,Escala_1_7,Escala_1_8,Escala_1_9,Escala_2_1,Escala_2_2,Escala_2_3,Escala_2_4,Escala_2_5,Escala_2_6,Escala_2_7,Escala_2_8,Escala_2_9,Escala_2_10,Escala_2_11,Escala_2_12,Escala_2_13,Escala_2_14,Escala_2_15,Escala_2_16,Escala_3_1,Escala_3_2,Escala_3_3,Escala_3_4,Escala_3_5,Escala_3_6,Escala_3_7,Escala_3_8,Escala_4_1,Escala_4_2,Escala_4_3,Escala_4_4,Escala_4_5,Escala_4_6,Escala_4_7,Escala_4_8,Escala_4_9,Escala_5_1,Escala_5_2,Escala_5_3,Escala_5_4,Escala_5_5,Escala_5_6,Escala_5_7,Escala_6_1,Escala_6_2,Escala_6_3,Escala_6_4,Escala_6_5,Escala_6_6,Escala_6_7,Escala_6_8,Escala_7_1,Escala_7_2,Escala_7_3,Escala_7_4,Escala_7_5,Escala_7_6,Escala_7_7,Escala_7_8,Escala_7_9,Escala_7_10,Escala_7_11,Escala_7_12,Escala_7_13,Escala_7_14,Escala_7_15,Escala_7_16,Escala_7_17,Escala_7_18,Escala_7_19,Escala_7_20,Escala_7_21,Escala_7_22,Escala_8_1,Escala_8_2,Escala_8_3,Escala_8_4,Escala_9_1,Escala_9_2,Escala_9_3,Escala_9_4,Escala_9_5,Escala_9_6,Escala_9_7,Escala_9_8,Escala_9_9,Escala_10_1,Escala_10_2,Escala_10_3,Escala_10_4,Escala_10_5,Escala_10_6,Escala_11_1,Escala_11_2,Escala_11_3,Escala_11_4,Escala_11_5,Violencia_redes,Violenc_escolas,Renda,Redes_sociais,Frequencia_Redes,Tempo_Gasto_Redes,Redes_utilizadas_1,Uso_de_celular,Finalidade_celular_1,Finalidade_celular_2,Finalidade_celular_3,Finalidade_celular_4,Finalidade_celular_5,Finalidade_celular_5_TEXT,F1_escala3,F2_escala3,F1_Escala_4,F2_EScala_4,F3_Escala_4,Maioria_Sexual,Minoria_Sexual,Minoria_Física,PCDs,Maioria_racial,Minoria_racial,Rico,Pobre,Maioria_religiosa,Minoria_religiosa,F1_Escala_9,F2_Escala_9,cor_da_pele,E1_ameacas,E2_situacoes_estresse,E5_disc_pessoal,E6_locais,E7_soma_pertenca,E8_qualid_relacoes,E9_trat_desig_grupos,E10_est_emoc_neg,E11_satisf_vida,E3_4_agentes,E2_6_contextos,E8_9_grupal,E5_10_11_individ,idade_outliers
1315,1,3,Campos de Brito,1,11,6C,masculino,pardo,2,4,1,5,3,2,1,3,1,3,1,2,4,1,1,1,4,1,1,2,4,3,2,3,4,1,2,3,3,4,2,1,4,3,1,4,4,4,2,1,1,1,2,3,4,1,2,2,3,2,1,3,2,1,3,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,3,2,4,4,3,5,5,5,2,5,3,2,3,1,1,2,1,1,1,3,,4,4,2,2,,3,1,5,3,1,1,1,1,,1,,,2.2,3,3.25,1,1.5,3,0,1,0,0,1,1,1,0,1,3,1,2,2.444444444,2.3125,2.428571429,1.75,8,3.25,3.666666667,1.166666667,,2.3125,2.125,3.538461538,1.797619048,1
1316,1,3,Campos de Brito,1,10,6,masculino,pardo,,5,1,2,2,3,1,3,1,1,1,1,1,4,1,1,1,1,1,1,1,2,5,1,3,1,2,1,5,3,5,1,5,1,3,5,3,5,5,1,1,5,1,1,2,1,1,1,1,3,1,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,3,1,4,3,3,5,5,1,4,1,5,3,2,1,1,2,1,5,1,1,5,5,5,3,2,,,,3,1,1,2,,,,1,,,3,4,3.5,3,3,1,0,1,0,0,2,0,0,0,1,3,2.333333333,2,2.25,1.625,1.142857143,1.5,5,2.75,3.222222222,1.833333333,3.8,2.9375,1.583333333,3.076923077,2.258730159,0
1317,1,3,Campos de Brito,1,14,6C,masculino,pardo,5,5,1,1,2,5,3,5,1,2,1,1,1,2,1,1,5,1,1,1,5,1,1,1,1,3,5,5,2,3,1,5,1,2,3,5,5,3,5,1,1,5,2,4,2,4,5,1,5,1,5,5,3,5,5,2,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,3,1,5,3,1,1,3,1,1,4,1,3,5,1,1,1,1,1,1,5,5,5,2,5,,,1,1,5,5,1,1,,1,,,,,2.8,2.333333333,2.75,3,3,3,0,1,0,0,1,0,1,0,1,2.5,4.333333333,2,3.111111111,1.625,3.285714286,3.5,7,3,2.222222222,1,4.4,3.25,2.25,2.461538462,2.895238095,1
1318,1,3,Campos de Brito,1,11,6A,masculino,pardo,4,3,2,2,3,3,4,5,5,3,2,2,1,4,1,1,4,1,1,2,4,3,3,1,4,2,3,4,4,4,5,2,4,2,4,3,2,4,1,2,1,2,1,2,1,2,1,1,2,2,2,3,2,1,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,3,2,5,4,5,2,2,1,2,3,2,2,3,2,1,2,2,3,5,4,3,1,,2,1,5,3,1,1,,1,,,,,3.4,3,3.25,2.666666667,1,1,0,1,0,0,1,0,0,0,0,2,1.333333333,2,3.444444444,2.3125,1.428571429,2.125,3,2.25,2.888888889,2,3.4,2.8125,2.25,2.692307692,2.276190476,1
1319,1,3,Campos de Brito,1,14,6A,,,4,3,2,2,3,3,4,5,5,3,1,4,1,4,3,5,5,2,3,5,1,3,4,,4,1,4,,3,4,1,5,2,2,4,1,,3,3,4,3,3,4,3,,1,5,5,4,3,4,3,1,4,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,3,2,3,4,1,2,5,1,4,4,3,4,3,5,3,2,4,3,4,,,2,1,,,,,,,,,,,2.8,,,3.666666667,3,0,0,0,0,0,0,0,0,0,0,2.666666667,3.333333333,,3.444444444,,,3.125,0,3.25,2.666666667,3.833333333,3.2,2.857142857,3.173913043,2.846153846,3.516666667,1
1320,1,3,Campos de Brito,1,10,6A,feminino,pardo,4,3,1,1,2,3,1,5,1,4,2,1,2,4,1,1,4,1,1,1,4,1,1,2,2,1,2,5,2,4,4,2,4,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,2,1,1,1,3,4,4,4,4,2,,3,1,5,4,1,2,1,,,,,,2.6,2.333333333,2.5,1,1,0,1,1,0,0,1,0,0,1,0,1,1,2,2.333333333,2,1,1.125,4,1,2.333333333,1.166666667,3.8,2.1875,1.708333333,1.923076923,1.988888889,0
1321,1,3,Campos de Brito,1,11,6A,feminino,pardo,5,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,4,3,1,1,1,1,5,5,2,4,1,1,2,2,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,2,1,1,1,5,5,5,5,2,1,3,4,1,1,1,1,1,1,1,1,1,5,1,2,,1,1,5,1,1,2,,1,,,,,1.8,2.666666667,3.5,1,1,1,1,1,0,0,1,0,1,1,0,2.666666667,1,2,1.888888889,1.625,1,1,6,1.25,3.444444444,1,1.8,1.9375,1.416666667,2.769230769,1.266666667,1
1322,1,3,Campos de Brito,1,11,6A,feminino,pardo,5,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,4,3,1,1,1,1,5,5,2,4,1,1,2,2,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,2,1,1,1,5,5,5,1,1,2,1,5,1,1,1,1,1,1,1,5,5,5,5,2,,1,1,5,5,1,1,,1,,,,,1.8,2.666666667,3.5,1,1,1,1,1,0,0,1,0,1,1,0,1.833333333,1,2,1.888888889,1.625,1,1,6,1.25,2.888888889,1,4.2,1.9375,1.416666667,2.384615385,2.066666667,1
1323,1,3,Campos de Brito,1,11,6A,feminino,pardo,3,4,3,4,1,3,3,2,5,3,1,1,1,1,1,1,3,2,1,1,2,2,1,1,1,1,5,1,3,1,3,1,3,1,1,3,2,5,2,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,3,3,2,4,5,5,4,2,4,2,3,5,2,3,5,2,2,1,3,4,3,5,5,2,,2,1,3,1,,2,,,1,1,,,1.8,4.333333333,3.25,1,1.5,1,1,1,0,0,1,0,1,1,0,3.333333333,1.333333333,2,3.111111111,1.4375,1.428571429,1,6,2.5,3.777777778,2.5,4,1.875,1.291666667,3.384615385,2.642857143,1
1324,1,3,Campos de Brito,1,10,6A,feminino,pardo,2,5,1,2,1,2,1,3,3,2,1,1,1,2,1,1,3,1,1,2,1,2,1,1,2,3,4,1,5,3,3,1,3,2,1,1,2,4,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,2,4,5,5,5,5,3,5,5,4,5,2,4,2,2,1,3,1,,3,4,4,2,,4,1,4,1,,2,,,,,,,3,4,2.75,1.333333333,1,0,1,0,0,0,1,1,0,0,0,4.5,1,2,2.222222222,1.4375,1.285714286,1.5,3,2.25,4.666666667,2.333333333,,2.125,1.458333333,3.923076923,1.80952381,0
1325,1,3,Campos de Brito,1,11,6A,feminino,pardo,4,5,1,1,1,3,1,4,1,4,1,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,4,3,2,1,2,4,1,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,4,3,,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,2,3,2,5,5,4,5,2,4,3,5,5,1,,3,1,1,2,3,5,5,3,3,2,,1,2,,,,2,,,,,,,2.2,4,3.5,1,1,0,1,1,0,0,1,0,1,1,0,4,1.333333333,2,2.333333333,1.5,1.142857143,2,5,2.25,4.222222222,,3.8,2,1.652173913,3.615384615,2.471428571,1
1326,1,3,Campos de Brito,1,12,6A,masculino,pardo,4,4,3,2,3,3,3,4,1,4,1,3,3,4,4,1,5,1,1,1,5,3,1,3,3,2,4,2,4,4,4,2,4,3,3,3,2,3,1,2,3,4,2,3,1,1,2,3,4,2,3,3,3,3,4,3,5,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,1,3,3,3,3,3,2,1,3,3,1,4,4,3,4,4,3,3,3,3,3,,,3,1,5,2,1,2,,,,,,,3.2,4,3.25,3,2,3,0,1,0,0,1,0,0,1,0,2.5,3,2,3,2.6875,2.285714286,3.25,6,1.25,2.666666667,3.333333333,3,2.9375,2.875,2.230769231,2.873015873,1
1327,1,3,Campos de Brito,1,12,6A,masculino,pardo,4,4,2,3,3,2,1,2,2,3,2,2,1,3,1,2,3,1,1,1,3,5,2,2,2,3,4,3,4,3,4,3,4,3,2,3,3,4,2,3,1,3,1,2,2,1,1,2,3,1,2,3,2,2,2,3,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,4,4,4,4,4,5,4,4,3,3,4,3,1,3,4,3,2,2,4,4,4,4,4,2,,2,,5,4,1,2,,,,,,,3.4,3.666666667,3.25,2.666666667,1.5,1,0,1,0,0,1,0,0,1,0,3.5,1.666666667,2,2.555555556,2.125,1.714285714,2.25,4,4,3.777777778,2.5,4,3,2.166666667,3.846153846,2.738095238,1
