etapa,Violenc_escolas,id,Concorda,DRs,Cidade,serie,Idade,Sexo,Cor_da_pele,Escala_1_1,Escala_1_2,Escala_1_3,Escala_1_4,Escala_1_5,Escala_1_6,Escala_1_7,Escala_1_8,Escala_1_9,Escala_2_1,Escala_2_2,Escala_2_3,Escala_2_4,Escala_2_5,Escala_2_6,Escala_2_7,Escala_2_8,Escala_2_9,Escala_2_10,Escala_2_11,Escala_2_12,Escala_2_13,Escala_2_14,Escala_2_15,Escala_2_16,Escala_3_1,Escala_3_2,Escala_3_3,Escala_3_4,Escala_3_5,Escala_3_6,Escala_3_7,Escala_3_8,Escala_4_1,Escala_4_2,Escala_4_3,Escala_4_4,Escala_4_5,Escala_4_6,Escala_4_7,Escala_4_8,Escala_4_9,Escala_5_1,Escala_5_2,Escala_5_3,Escala_5_4,Escala_5_5,Escala_5_6,Escala_5_7,Escala_6_1,Escala_6_2,Escala_6_3,Escala_6_4,Escala_6_5,Escala_6_6,Escala_6_7,Escala_6_8,Escala_7_1,Escala_7_2,Escala_7_3,Escala_7_4,Escala_7_5,Escala_7_6,Escala_7_7,Escala_7_8,Escala_7_9,Escala_7_10,Escala_7_11,Escala_7_12,Escala_7_13,Escala_7_14,Escala_7_15,Escala_7_16,Escala_7_17,Escala_7_18,Escala_7_19,Escala_7_20,Escala_7_21,Escala_7_22,Escala_8_1,Escala_8_2,Escala_8_3,Escala_8_4,Escala_9_1,Escala_9_2,Escala_9_3,Escala_9_4,Escala_9_5,Escala_9_6,Escala_9_7,Escala_9_8,Escala_9_9,Escala_10_1,Escala_10_2,Escala_10_3,Escala_10_4,Escala_10_5,Escala_10_6,Escala_11_1,Escala_11_2,Escala_11_3,Escala_11_4,Escala_11_5,Violencia_redes,Renda,Redes_sociais,Frequencia_Redes,Tempo_Gasto_Redes,Redes_utilizadas_1,Uso_de_celular,Finalidade_celular_1,Finalidade_celular_2,Finalidade_celular_3,Finalidade_celular_4,Finalidade_celular_5,Finalidade_celular_5_TEXT,F1_escala3,F2_escala3,F1_Escala_4,F2_EScala_4,F3_Escala_4,Maioria_Sexual,Minoria_Sexual,Minoria_Física,PCDs,Maioria_racial,Minoria_racial,Rico,Pobre,Maioria_religiosa,Minoria_religiosa,F1_Escala_9,F2_Escala_9,cor_da_pele,E1_ameacas,E2_situacoes_estresse,E5_disc_pessoal,E6_locais,escala7_soma_pertenc,esc8_rel_intergrup,esc9_inc_diversid,esc10_est_emoc_neg,esc11_satisf_vida,esc3_4_conflitos,E2_6_contextos,E8_9_grupal,E5_10_11_individ,idade_outliers,esc1_1,esc_1_2,esc_1_3,esc_1_4,esc_1_5,esc_1_6,esc_1_7,esc_1_8,esc_1_9,esc1_Pertencimento,esc2_sit_alunos,esc2_sit_escola,esc6_loc_agr_esc,esc6_loc_agr_imed,esc6_loc_agr_internet,esc5_bull_alvo,esc5_bull_agente,esc5_bull_testem,esc7_grup_estig,esc7_soma_pert
,,400,1,8,Maruim,4,15,feminino,pardo,2,2,5,1,5,3,4,4,5,4,1,1,3,1,1,1,1,1,1,1,5,1,5,1,3,1,5,1,5,5,3,2,5,1,2,5,3,2,4,1,5,3,5,5,1,1,1,1,1,5,4,3,5,2,3,,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,2,1,1,5,2,5,4,1,2,2,2,1,1,5,5,5,5,5,4,3,2,3,3,2,1,1,1,5,3,1,1,,1,,1,,,3.2,5,2.75,2,4.5,0,1,1,0,0,1,1,0,0,2,1.66667,2.66667,2,3.44444,1.9375,2.14286,3.57143,6,2.25,2.22222,4.83333,2.6,3.1875,2.43478,2.23077,3.19206,1,4,4,1,5,1,3,2,2,1,2.55556,1.6,2.09091,3,,3,3.66667,1,1,0.230769,0.272727
3 fase,feia e etc,401,1,8,Maruim,4,15,feminino,branco,5,5,1,1,2,2,1,2,1,5,1,1,3,3,,1,5,3,3,1,2,5,5,4,5,5,5,3,3,5,5,1,4,3,4,3,1,3,1,1,1,1,1,1,1,1,,1,4,4,4,2,,5,1,5,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5,3,4,5,5,,,2,4,3,1,4,3,5,5,,3,2,1,5,5,5,5,5,1,1,,5,,1,1,,,1,,,,3.8,4,3.5,2,1,1,1,1,0,1,0,0,1,0,0,3.33333,,1,2.22222,,,3.71429,5,4.25,3.14286,,5,2.875,3.31818,3.54545,5,1,1,1,5,5,4,4,5,4,5,3.77778,2.6,3.4,2,5,5,1,1,2.5,0.230769,0.227273
terceira fase,,402,1,8,Maruim,4,16,feminino,branco,5,2,3,4,3,4,3,2,3,5,4,3,4,4,4,2,3,3,1,1,5,2,3,3,5,2,4,4,5,4,3,2,4,3,3,2,2,3,3,2,5,2,2,5,1,1,1,5,5,5,5,5,3,1,,5,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,3,2,2,2,3,3,5,3,3,3,4,3,4,5,5,5,3,3,5,3,2,2,3,5,1,1,1,5,4,1,1,,1,,,,,3.2,3.33333,3,2.33333,4,2,1,1,0,1,0,0,1,0,1,3.33333,2.33333,1,3.22222,3.25,2.85714,3.57143,7,2.25,3.44444,4.33333,3,3.125,3.34783,3.07692,3.39683,1,1,4,3,2,3,2,3,4,3,2.77778,2.6,3.54545,5,5,1,2.66667,1,5,0.230769,0.318182
terceira fase,,403,1,8,Maruim,4,13,feminino,preto,1,1,5,5,5,5,,5,1,1,5,5,5,5,5,,1,5,5,,5,5,5,1,1,,1,5,1,1,1,,1,1,5,1,,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5,5,5,5,1,1,1,5,5,5,5,5,5,1,1,1,1,1,,,1,1,1,2,1,1,5,1,1,1,,,,1,,,,1,,3.66667,5,0,1,0,0,0,1,0,0,0,1,5,5,3,3.5,,5,5,3,5,3.66667,1.66667,,2.53846,4.27273,4.07692,3.33333,1,5,5,1,1,1,1,,1,5,2.5,4,3.8,5,5,5,5,5,5,0.153846,0.136364
6,,404,1,8,Maruim,4,13,masculino,branco,5,1,3,,,3,2,2,2,1,3,1,1,2,4,3,1,3,5,2,3,5,2,2,4,1,3,4,4,5,2,3,4,3,2,5,5,3,5,2,5,5,1,3,5,4,2,3,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,2,5,1,3,,5,4,2,5,3,5,1,1,1,1,1,1,2,,4,4,5,2,,2,1,,1,1,1,,,,,,3,3,3,3,5,1,0,0,0,1,0,0,1,0,0,3.33333,,1,2.57143,2.625,3.28571,1,3,2.75,3.5,1,,3.625,2.08333,3.25,2.14286,1,1,5,3,,,3,4,4,4,3.42857,2.4,2.72727,1,1,1,3,3,4,0.0769231,0.136364
terceira fase,,405,1,8,Maruim,4,15,feminino,pardo,4,5,1,2,3,5,2,1,5,2,4,3,5,4,1,2,2,2,1,1,4,3,2,4,5,3,4,4,1,4,1,3,4,2,3,1,5,3,4,4,2,5,1,3,1,1,2,3,4,2,2,2,2,2,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,2,3,4,5,3,2,4,5,1,3,3,5,3,1,5,4,1,5,4,5,2,2,2,1,5,3,,1,,1,,,,,2.4,3.33333,1.75,4,3,1,1,0,0,0,1,0,1,0,0,3,2,2,3.11111,2.8125,2.14286,2,4,1.5,3.33333,3.5,3.4,3.125,2.54167,2.76923,3.01429,1,2,1,5,4,3,1,4,5,1,2.88889,1.8,3.27273,2,2,2,1.66667,1.5,3.5,0.230769,0.181818
terceira fase,,406,1,8,Maruim,4,14,feminino,pardo,4,2,3,2,2,3,3,3,1,3,1,1,1,5,1,1,3,1,1,2,1,1,5,1,5,1,2,5,3,2,2,1,1,1,4,1,5,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,5,5,5,1,1,1,1,1,5,4,5,1,1,2,2,1,4,2,1,2,,1,5,1,1,2,,,,,,,1.8,1.33333,1.25,2,1,0,1,1,0,0,1,0,1,0,1,1,1,2,2.55556,2.0625,1.57143,1,5,1,2.33333,3,2,2,1.70833,1.92308,2.19048,1,2,4,3,4,4,3,3,3,5,3.44444,1.6,2.27273,1,1,1,2.33333,1,1,0.307692,0.227273
6,,407,1,8,Maruim,4,16,masculino,pardo,2,4,1,,3,,2,3,5,2,5,1,1,3,2,3,4,1,1,5,1,4,3,4,1,1,4,5,1,3,,,2,4,1,1,5,4,5,1,3,,2,3,1,3,2,4,2,1,1,1,5,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,1,2,1,2,5,5,5,1,1,1,1,1,1,1,1,2,5,1,1,,5,3,2,1,,,1,,1,,,,1,,,,,2.33333,2.5,,4,2,0,1,0,0,1,1,0,0,0,1.16667,1,2,2.85714,2.5625,2.42857,1.5,5,1.75,2.44444,1.83333,,2.76923,2.20833,2.23077,2.13095,1,4,2,5,,3,,4,3,1,3.14286,2,2.81818,1,1,1,2,2.5,3,0.153846,0.227273
terceira fase,,408,1,8,Maruim,4,14,masculino,preto,4,1,5,5,5,5,1,4,5,3,4,5,5,5,4,4,3,5,4,5,5,1,1,5,4,1,1,5,1,2,4,5,3,1,2,3,2,5,1,2,3,3,1,1,1,1,1,5,5,4,1,1,1,1,1,3,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,3,4,1,5,5,4,3,2,3,5,4,1,4,4,3,4,4,3,2,5,2,3,2,,1,5,1,1,1,1,1,,1,,,2.6,1.66667,3.25,2.33333,2,1,1,0,1,0,1,0,0,0,0,3,1.33333,3,3.88889,3.9375,2.14286,1.875,4,2.5,3.55556,3.33333,3,2.4375,3.25,3.23077,2.8254,1,2,5,1,1,1,1,5,2,1,2.11111,4.4,3.72727,1,3,3,1,1,5,0.230769,0.181818
6,,409,1,8,Maruim,4,14,feminino,preto,1,2,1,4,5,,1,3,4,3,,1,3,2,1,1,4,1,1,1,3,3,3,3,3,2,2,5,3,3,3,3,2,2,1,1,3,2,1,3,2,3,1,1,1,1,1,1,1,3,1,2,2,2,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,5,1,3,1,2,3,4,3,2,3,,3,2,1,2,1,2,1,2,1,2,1,2,3,2,2,1,4,,,2,,,,1,,,2.8,1.66667,2,2.33333,1.5,1,1,1,0,0,1,1,0,0,0,,2.66667,3,2.625,,1,1.625,5,2.5,2.75,1.5,1.8,2.4375,2,2.66667,1.43333,1,5,4,5,2,1,,5,3,2,3.375,1.4,2.6,2,1,1,1,1,1,0.230769,0.227273
