etapa,Violenc_escolas,id,Concorda,DRs,Cidade,serie,Idade,Sexo,Cor_da_pele,Escala_1_1,Escala_1_2,Escala_1_3,Escala_1_4,Escala_1_5,Escala_1_6,Escala_1_7,Escala_1_8,Escala_1_9,Escala_2_1,Escala_2_2,Escala_2_3,Escala_2_4,Escala_2_5,Escala_2_6,Escala_2_7,Escala_2_8,Escala_2_9,Escala_2_10,Escala_2_11,Escala_2_12,Escala_2_13,Escala_2_14,Escala_2_15,Escala_2_16,Escala_3_1,Escala_3_2,Escala_3_3,Escala_3_4,Escala_3_5,Escala_3_6,Escala_3_7,Escala_3_8,Escala_4_1,Escala_4_2,Escala_4_3,Escala_4_4,Escala_4_5,Escala_4_6,Escala_4_7,Escala_4_8,Escala_4_9,Escala_5_1,Escala_5_2,Escala_5_3,Escala_5_4,Escala_5_5,Escala_5_6,Escala_5_7,Escala_6_1,Escala_6_2,Escala_6_3,Escala_6_4,Escala_6_5,Escala_6_6,Escala_6_7,Escala_6_8,Escala_7_1,Escala_7_2,Escala_7_3,Escala_7_4,Escala_7_5,Escala_7_6,Escala_7_7,Escala_7_8,Escala_7_9,Escala_7_10,Escala_7_11,Escala_7_12,Escala_7_13,Escala_7_14,Escala_7_15,Escala_7_16,Escala_7_17,Escala_7_18,Escala_7_19,Escala_7_20,Escala_7_21,Escala_7_22,Escala_8_1,Escala_8_2,Escala_8_3,Escala_8_4,Escala_9_1,Escala_9_2,Escala_9_3,Escala_9_4,Escala_9_5,Escala_9_6,Escala_9_7,Escala_9_8,Escala_9_9,Escala_10_1,Escala_10_2,Escala_10_3,Escala_10_4,Escala_10_5,Escala_10_6,Escala_11_1,Escala_11_2,Escala_11_3,Escala_11_4,Escala_11_5,Violencia_redes,Renda,Redes_sociais,Frequencia_Redes,Tempo_Gasto_Redes,Redes_utilizadas_1,Uso_de_celular,Finalidade_celular_1,Finalidade_celular_2,Finalidade_celular_3,Finalidade_celular_4,Finalidade_celular_5,Finalidade_celular_5_TEXT,F1_escala3,F2_escala3,F1_Escala_4,F2_EScala_4,F3_Escala_4,Maioria_Sexual,Minoria_Sexual,Minoria_Física,PCDs,Maioria_racial,Minoria_racial,Rico,Pobre,Maioria_religiosa,Minoria_religiosa,F1_Escala_9,F2_Escala_9,cor_da_pele,E1_ameacas,E2_situacoes_estresse,E5_disc_pessoal,E6_locais,escala7_soma_pertenc,esc8_rel_intergrup,esc9_inc_diversid,esc10_est_emoc_neg,esc11_satisf_vida,esc3_4_conflitos,E2_6_contextos,E8_9_grupal,E5_10_11_individ,idade_outliers,esc1_1,esc_1_2,esc_1_3,esc_1_4,esc_1_5,esc_1_6,esc_1_7,esc_1_8,esc_1_9,esc1_Pertencimento,esc2_sit_alunos,esc2_sit_escola,esc6_loc_agr_esc,esc6_loc_agr_imed,esc6_loc_agr_internet,esc5_bull_alvo,esc5_bull_agente,esc5_bull_testem,esc7_grup_estig,esc7_soma_pert
1º,Não respondeu,1,1,1,Estância,2,17,masculino,pardo,1,3,2,5,4,3,2,2,5,1,2,1,1,1,1,1,5,1,1,5,5,5,1,3,4,4,5,2,1,1,1,4,3,5,1,1,5,2,1,3,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5,3,4,4,5,5,5,5,5,1,1,1,3,5,1,4,3,3,3,2,4,3,3,1,1,,1,5,5,1,1,,1,,1,,,2.2,4,2.25,1.66667,1,2,1,1,0,0,1,0,0,1,0,2.66667,1,2,3,2.375,1.57143,1,6,4,3.44444,3.16667,2.6,2.4375,1.91667,3.61538,2.44603,1,5,3,4,1,2,3,4,4,1,3,1.8,2.63636,1,1,1,1,1,3,0.230769,0.272727
1 A,,1.46,1,1,Estância,2,16,feminino,pardo,4,4,1,2,3,3,2,1,1,3,1,1,2,1,1,1,3,3,1,1,3,2,1,5,5,1,4,1,5,5,1,1,5,5,1,5,2,5,3,3,3,1,3,3,1,1,1,1,3,5,2,2,1,1,4,4,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,5,4,4,4,5,5,5,5,4,5,5,4,4,3,2,3,2,2,1,4,4,2,3,5,2,2,1,5,4,1,1,,,1,1,,,2.6,4.66667,4.75,1.66667,3,0,1,1,0,0,1,0,1,0,1,4.5,1,2,2.33333,2.125,1.85714,3,5,4.25,4.66667,2.16667,3.6,2.875,2.41667,4.53846,2.54127,1,2,2,5,4,3,3,4,5,5,3.66667,1.8,2.27273,2,4,5,2.33333,1,2,0.307692,0.227273
1ª etapa,,2,1,1,Estância,2,20,feminino,pardo,3,3,1,2,5,3,3,3,3,1,5,1,2,1,1,1,5,1,1,1,5,1,1,5,5,3,5,5,3,3,1,3,3,1,3,3,5,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,1,1,5,5,5,1,1,1,1,1,1,,2,1,1,1,1,3,1,3,3,2,1,1,5,1,1,1,,,1,,,,2.6,3,2.5,2,2,1,2,0,0,0,1,0,0,1,0,1,1,2,2.88889,2.3125,1,1.25,5,1.25,2.33333,,2.2,2.8125,1.95833,2,1.6,1,3,3,5,4,1,3,3,3,3,3.11111,1,2.90909,1,2,1,1,1,1,0.230769,0.227273
1º D,"[A participante respondeu não, mas comentou] Nas redes sociais não porque eu não tenho (só tenho o twitter, mas eu não posto nada)",3,1,1,Estância,2,18,feminino,branco,1,3,2,5,4,3,2,2,4,1,1,1,1,1,1,1,5,1,1,5,1,3,1,3,4,4,5,1,1,1,1,4,4,5,1,2,5,3,1,5,1,1,1,1,,1,1,1,2,1,1,1,1,1,1,1,5,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,4,5,1,3,1,3,2,5,1,1,2,4,3,1,1,2,1,5,4,,2,,,,,,,2.2,4.66667,2.75,2.33333,1,1,2,1,0,1,0,0,1,0,0,4.16667,1,1,2.88889,1.9375,,1.5,6,5,4.44444,2.5,2.2,2.625,1.79167,4.61538,2.35,1,5,3,4,1,2,3,4,4,2,3.11111,1.8,2,1,1,5,1,1,1.5,0.307692,0.272727
1ºD,,4,1,1,Estância,2,16,feminino,preto,3,5,1,1,4,3,1,3,1,3,3,2,4,4,1,1,5,,4,1,5,5,4,5,5,4,4,5,2,4,2,2,4,4,4,3,4,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,3,4,5,4,1,4,4,2,3,2,1,1,1,4,2,3,4,1,1,2,5,4,2,1,1,5,5,1,1,1,,1,1,,,2.8,3,3.25,2,1,2,1,1,0,0,1,0,1,0,0,2.83333,3,3,2.44444,,1.14286,1,6,2.5,2.88889,2.5,2.6,2.875,2.6087,2.76923,2.08095,1,3,1,5,5,2,3,5,3,5,3.55556,2.5,3.81818,1,1,1,1.33333,1,1,0.307692,0.272727
1ª etapa,,5,1,1,Estância,2,16,feminino,pardo,2,5,2,3,2,3,2,3,4,2,3,1,3,1,1,1,3,2,2,1,1,1,1,1,1,2,2,3,3,2,1,1,2,4,1,2,3,3,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,4,3,4,4,5,5,5,5,4,5,5,5,3,1,3,3,2,1,1,4,5,5,4,3,2,2,1,5,5,1,1,1,1,1,1,,,1.8,2.33333,3,1,2,0,2,1,0,0,1,0,1,1,0,4.5,1,2,2.88889,1.5625,1.14286,1.5,6,3.75,4.66667,1.83333,4.2,2,1.54167,4.38462,2.39206,1,4,1,4,3,4,3,4,3,2,3.11111,1.6,1.54545,2,1,2,1,1,1.5,0.384615,0.272727
1 etapa,"Abuso, sofro contra ansiedade e depressão",6,1,1,Estância,2,16,feminino,pardo,4,4,3,3,1,4,5,4,5,1,1,1,4,3,1,1,5,1,1,1,4,5,1,4,5,1,2,5,1,2,1,1,1,1,2,1,4,2,1,1,5,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,1,5,3,3,5,5,1,1,1,4,1,,2,,,,1,,,1.2,1.33333,1.5,1.66667,3,1,1,1,0,0,1,0,1,0,1,4.83333,1,2,3.66667,2.4375,1.28571,1.75,6,5,4.88889,3.66667,4.2,1.9375,2.20833,4.92308,3.05079,1,2,2,3,3,5,2,1,2,1,2.33333,1,3.09091,2,2,2,1.66667,1,1,0.307692,0.272727
1 tapa D,,7,1,1,Estância,2,20,feminino,pardo,4,4,3,1,4,2,3,,5,1,1,1,2,5,3,4,1,5,5,,5,,5,,1,2,,5,3,5,3,5,3,1,2,5,4,3,4,3,3,3,1,3,1,1,3,5,4,1,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,5,5,5,5,5,5,5,5,5,5,4,5,5,1,1,1,1,1,1,5,5,5,5,5,2,3,,4,1,,2,,,,,,,3.6,,2.75,2.66667,3.5,0,1,1,1,0,1,0,1,0,1,4.83333,1,2,3.25,,2.57143,1.875,6,5,4.88889,1,5,3.4,2.57143,4.92308,2.85714,1,2,2,3,5,2,4,3,,1,2.75,3,3,2,2,2,1.66667,2,4.5,0.384615,0.272727
1 ano,fui assediada.,7.69,1,1,Estância,2,17,feminino,branco,4,4,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,3,1,1,3,1,3,1,5,3,5,2,4,5,1,1,5,3,1,3,3,5,2,1,1,1,1,2,1,1,3,1,2,2,5,3,4,5,2,4,5,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,4,2,3,4,2,3,4,4,3,,2,,2,4,4,3,3,4,4,3,4,4,4,4,1,1,1,5,5,1,1,,,,1,,,2.8,4.66667,3.5,1,1.5,1,2,1,0,1,0,0,1,1,0,,2.33333,1,2.44444,1.75,1.57143,3.75,7,3.25,2.85714,3.66667,3.8,2.5625,2.41667,3,3.0127,1,2,2,4,4,4,4,4,4,4,3.55556,1.8,1.72727,3,4,5,1.33333,2,1.5,0.307692,0.318182
1 etapa,,8,1,1,Estância,2,17,masculino,preto,2,3,2,2,3,2,2,4,2,2,5,1,1,1,1,1,5,5,2,1,1,5,1,1,3,4,5,5,5,1,1,1,5,5,1,5,1,5,1,2,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,,5,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5,5,5,5,1,5,5,5,1,5,5,1,1,2,5,1,1,5,1,2,2,3,2,2,2,2,1,5,5,1,1,,,,,1,Jogos,2.4,3.66667,5,1.33333,1.5,3,0,1,0,0,1,0,1,0,0,2.33333,1,3,2.44444,2.25,1.57143,1.57143,6,5,3.22222,2.5,2.2,2.8125,2.04348,3.76923,2.09048,1,4,3,4,4,3,4,4,2,4,3.55556,2.2,2.27273,1,,5,1,3,1,0.230769,0.272727
1 etapa D,,9,1,1,Estância,2,17,masculino,pardo,3,2,1,2,2,3,2,3,5,5,3,5,1,4,1,1,5,1,5,5,4,5,4,2,3,4,4,1,5,5,5,2,5,4,1,4,1,3,1,1,1,1,1,3,1,1,4,1,1,1,5,5,1,1,1,4,5,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,5,5,5,5,1,5,5,5,1,1,1,1,1,2,3,2,4,4,1,4,4,5,3,2,2,2,1,5,1,1,1,,1,,1,,,4.2,4.66667,4,1,1,3,0,1,0,0,1,0,1,0,1,1,1,2,2.55556,3.375,1.71429,2.875,7,5,2.33333,2.66667,3.6,2.8125,3.20833,3.15385,2.66032,1,3,4,5,4,4,3,4,3,1,3.44444,4.2,3,5,4,5,1.66667,2.5,1,0.230769,0.318182
1º,,10,1,1,Estância,2,18,masculino,preto,4,1,4,3,5,5,5,3,1,2,1,1,4,1,1,1,1,1,1,2,3,2,1,4,2,1,5,4,5,1,5,1,5,2,1,1,4,5,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,2,1,5,5,5,3,1,1,1,5,2,5,5,1,2,5,1,3,1,1,5,2,1,1,5,2,,1,1,,,,,,2.6,4,2.5,1.66667,1,1,0,1,0,0,1,0,1,0,1,2,1,3,3.44444,1.75,1,1.125,5,1.25,3,3.33333,2.2,2.5625,1.54167,2.46154,2.17778,1,2,5,2,3,1,1,1,3,5,2.55556,1.4,1.90909,1,1,1,1,1,1,0.307692,0.227273
1 etapa D,,11,1,1,Estância,2,16,feminino,pardo,2,3,1,1,2,3,1,4,1,3,2,1,1,1,1,1,3,4,1,3,2,3,1,1,1,3,4,1,2,2,1,3,4,5,1,4,2,4,1,2,1,1,1,1,1,1,1,3,3,2,2,2,1,4,2,3,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,4,2,3,3,5,5,5,4,2,4,3,2,3,1,1,2,1,1,1,3,3,4,3,1,2,2,1,5,3,1,1,,,,1,,,2.2,4.33333,4.25,1.33333,1,0,1,1,0,0,1,0,1,1,0,3.16667,1.33333,2,2,1.8125,1.57143,2.25,5,3,3.66667,1.16667,2.8,2.3125,1.95833,3.46154,1.84603,1,4,3,5,5,4,3,5,2,5,4,2.4,1.54545,2,3,2,1,1,3,0.307692,0.227273
1ª etapa,,12,1,1,Estância,2,17,masculino,pardo,2,3,1,1,2,3,1,4,1,2,3,1,1,1,1,1,3,4,1,3,2,3,1,1,1,3,4,1,2,1,1,3,4,5,1,4,2,4,1,2,1,1,1,1,1,2,1,3,3,2,2,2,1,4,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3,3,5,5,5,4,2,4,3,2,3,1,1,2,5,3,1,3,3,4,3,1,2,2,1,5,3,1,1,,1,,1,,,2,4.33333,4.25,1.33333,1,1,0,1,0,0,1,0,0,0,0,3.16667,1.33333,2,2,1.8125,1.71429,2.25,3,3,3.66667,2.16667,2.8,2.25,1.95833,3.46154,2.22698,1,4,3,5,5,4,3,5,2,5,4,2.2,1.63636,2,3,2,1,1.5,3,0.153846,0.136364
1 etapa D,,13,1,1,Estância,2,17,,preto,1,4,4,2,,4,2,2,1,2,1,1,2,2,1,1,3,1,1,1,2,4,5,1,1,5,5,2,2,5,1,1,5,1,1,,3,2,3,1,4,3,4,2,5,1,4,1,4,1,4,1,2,4,5,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,2,5,5,5,5,4,2,4,2,4,3,1,3,5,1,4,2,4,5,1,1,4,2,2,1,2,2,1,1,1,,,,,,2.8,4.66667,,1.66667,3.5,0,1,0,0,0,1,0,1,0,0,3.33333,1.33333,3,2.5,1.8125,3,3.25,3,2.75,3.77778,2.66667,3,2.8,2.29167,3.46154,2.88889,1,5,2,2,4,,2,4,4,5,3.5,1.2,2.09091,1,5,4,3.66667,2.5,2.5,0.230769,0.136364
1D,,14,1,1,Estância,2,17,feminino,pardo,2,2,2,2,2,3,1,2,2,3,1,1,1,1,1,1,4,1,1,1,1,2,3,1,1,1,5,5,5,3,2,1,5,1,1,5,1,5,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,2,4,5,1,5,5,5,1,5,5,5,5,1,2,2,1,2,1,3,4,4,3,3,2,1,1,5,2,1,1,,,1,1,,,2.4,3.66667,4,2.33333,2,0,1,0,0,0,1,0,1,1,0,3.66667,1,2,2,1.5,1,1,4,3.25,4.11111,1.5,3.4,2.8125,1.33333,3.84615,1.96667,1,4,4,4,4,4,3,5,4,4,4,1.4,1.54545,1,1,1,1,1,1,0.230769,0.181818
1º,,15,1,1,Estância,2,16,masculino,branco,1,4,2,1,1,2,4,2,2,3,2,1,3,5,1,,3,1,1,1,3,4,4,1,1,4,5,2,5,5,2,3,4,3,4,4,1,4,3,5,1,4,2,1,1,1,1,1,2,1,2,2,2,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,3,3,4,3,3,3,3,3,5,5,4,5,5,2,2,1,1,2,3,1,1,4,4,2,1,1,5,3,1,1,,,,1,,,3.8,4.33333,4,4.33333,2,1,0,0,0,1,0,0,1,0,0,4.16667,3,1,2.11111,,1.28571,2,3,3.75,3.77778,2.16667,2.6,3.4375,2.17391,3.76923,2.01746,1,5,2,4,5,5,4,2,4,4,3.88889,1.4,2.7,2,2,3,1.33333,1,1.5,0.0769231,0.136364
1° A,,16,1,1,Estância,2,16,masculino,pardo,3,2,5,5,3,1,5,3,5,1,1,2,3,1,3,4,5,4,2,4,2,4,3,3,3,3,1,5,5,3,5,1,4,4,1,5,3,3,3,3,4,1,3,3,2,4,1,3,2,1,2,4,1,4,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,5,5,3,5,3,4,2,3,2,3,2,3,5,5,1,1,5,4,2,3,2,4,2,1,,4,,,1,,,1,,,,3.4,2,3.75,1.66667,3.5,1,0,0,0,0,1,0,0,0,0,2.5,2,2,3.55556,2.8125,2.57143,2.625,2,4,3,3.33333,3,3.1875,2.75,3.30769,2.96825,1,3,4,1,1,3,5,1,3,1,2.44444,2.6,2.90909,4,2,3,2.66667,2.5,2.5,0.0769231,0.0909091
1º ano,,16,1,1,Estância,2,16,masculino,pardo,2,4,2,2,1,3,1,2,2,2,1,1,4,3,1,1,4,3,1,1,2,3,1,1,3,3,2,2,4,3,2,1,4,4,1,4,2,2,1,1,1,1,1,1,1,1,2,1,2,3,4,2,2,1,2,3,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,4,4,3,5,4,5,5,5,5,3,3,3,1,1,1,1,1,1,2,2,4,3,4,2,2,1,5,3,1,2,,,,,,,2.6,3.33333,3.5,1,1,3,0,1,0,0,1,0,0,1,0,4,1.33333,2,2.11111,2,1.28571,2.25,6,3.75,4.22222,1,3,2.25,2.08333,4.07692,1.7619,1,4,2,4,4,5,3,5,4,4,3.88889,1.6,2.18182,2,3,1,1,1.5,1.5,0.153846,0.272727
1°D,,17,1,1,Estância,2,17,masculino,pardo,1,3,3,4,2,1,4,2,1,4,3,1,3,3,1,2,5,1,1,1,1,3,5,3,3,1,4,5,5,5,1,3,5,3,2,5,1,5,3,2,1,1,1,1,1,3,1,3,3,2,1,1,1,2,1,2,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,3,5,3,3,5,5,3,5,3,2,3,1,4,,3,2,1,4,4,4,4,5,2,1,1,4,1,,1,,,,1,,,3,3.33333,4.5,1.66667,2,3,0,1,0,0,1,1,0,0,1,3.16667,1.66667,2,2.33333,2.5,1.85714,1.375,7,2.75,3.55556,,4.2,2.9375,2.125,3.30769,3.02857,1,5,3,3,2,4,5,2,4,5,3.66667,1.6,2.90909,1,2,1,1,2,3,0.153846,0.318182
1º,,17,1,1,Estância,2,18,masculino,pardo,3,5,5,1,2,3,,2,5,1,1,1,1,1,1,1,1,4,1,1,5,3,3,1,5,1,5,3,1,1,5,5,5,1,1,1,1,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,1,4,5,5,1,5,1,1,1,4,5,5,3,5,2,5,3,5,5,5,2,1,2,1,2,1,2,1,1,1,1,,,2.6,4.33333,3,2.33333,2,1,0,0,0,0,1,0,0,0,0,1.66667,1.33333,2,3.25,1.9375,1,1.125,2,1.5,2.66667,4,4.6,2.5,1.66667,2.30769,3.2,1,3,1,1,5,4,3,,4,1,2.75,1.6,2.09091,1,1,1,1,1,1,0.0769231,0.0909091
1,,18,1,1,Estância,2,17,masculino,preto,2,1,1,2,2,3,1,,1,1,1,1,1,3,1,1,4,1,1,1,3,1,5,1,2,3,5,5,2,2,2,3,5,4,1,5,3,5,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,4,4,,4,1,5,5,5,1,1,1,1,2,1,1,,1,5,1,1,3,4,4,1,2,2,1,4,1,1,1,,1,1,1,,,2.4,3.66667,4.25,1.66667,2,1,0,1,0,0,1,0,1,1,0,1.16667,1,3,1.625,1.75,1,1,5,,2.44444,,2.6,3,1.5,2.83333,1.8,1,4,5,5,4,4,3,5,,5,4.375,1,2.09091,1,1,1,1,1,1,0.230769,0.227273
1ª etapa D,,19,1,1,Estância,2,16,feminino,preto,4,4,2,2,1,2,1,1,1,2,3,1,2,2,1,1,4,1,1,1,4,4,3,3,3,2,2,2,3,1,1,2,5,4,2,3,4,3,1,2,1,1,1,1,1,1,1,5,5,3,5,2,2,1,3,5,4,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,3,4,4,3,4,5,4,4,2,4,4,3,4,2,3,3,1,1,3,1,4,3,3,2,1,1,5,3,1,1,,,,1,,,1.8,3.66667,3,1.66667,1,2,1,1,0,0,1,0,1,1,0,3.33333,1.66667,3,2,2.25,2.14286,3.125,7,3.5,3.66667,2.33333,2.8,2.25,2.54167,3.61538,2.4254,1,2,2,4,4,5,4,5,5,5,4,1.2,2.72727,2,5,4,1,1,5,0.307692,0.318182
1ºB,,19.14,1,1,Estância,2,17,masculino,pardo,1,4,1,1,2,2,1,3,2,1,4,1,4,3,1,1,3,1,1,1,3,2,2,1,1,4,5,3,3,3,2,2,5,2,3,5,3,5,2,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,5,5,1,5,5,5,5,1,2,1,1,1,1,1,1,1,1,1,4,4,4,4,2,3,1,5,5,1,1,1,1,1,1,,,2.8,4.33333,3.75,2.66667,3.5,1,0,0,0,0,1,0,0,0,0,1.83333,1,2,1.88889,1.875,1,1,2,4.5,2.88889,1,3.4,3.25,1.58333,3.38462,1.8,1,5,2,5,5,4,4,5,3,4,4.11111,1,2.27273,1,1,1,1,1,1,0.0769231,0.0909091
1 ano,,20,1,1,Estância,2,17,masculino,pardo,4,4,2,2,4,4,2,4,5,3,3,3,3,3,1,1,5,5,2,3,3,3,2,5,3,4,2,4,2,1,1,4,2,3,1,4,,2,1,5,1,1,1,1,1,2,2,3,3,2,2,1,1,3,2,3,4,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,5,1,4,3,5,3,4,5,2,3,2,3,4,1,1,3,2,2,2,2,4,2,1,3,2,2,1,5,5,1,1,1,,1,1,,,2.4,2,,2.33333,1,3,0,1,0,0,1,0,1,0,1,3.16667,2,2,3.44444,3,1.85714,2.25,7,3.25,3.44444,1.83333,2.4,2.4,2.75,3.38462,2.03016,1,2,2,4,4,2,2,4,2,1,2.55556,3.2,2.90909,1,3,4,1,2,3,0.307692,0.318182
1 E D,,21,1,1,Estância,2,19,,pardo,1,5,2,4,4,,2,4,1,2,3,1,2,4,1,1,5,2,2,,1,3,3,,,3,3,4,5,4,,,4,3,,3,4,,1,,3,,1,1,1,1,1,,3,3,3,3,2,2,,,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,3,3,3,1,5,5,5,1,3,3,3,4,1,1,1,1,1,1,3,4,4,4,3,2,,,,,,,,,,,,,,3,,,2,3,0,1,0,0,1,0,0,0,1,2.5,1,2,2.875,,,2.5,6,3,3.33333,1,3.6,3.36364,2.36842,3.23077,2.3,1,5,1,4,2,2,,4,2,5,3.125,1.75,2.55556,3,,2,1,1,3,0.153846,0.272727
1 E D,,22,1,1,Estância,2,19,masculino,pardo,1,5,2,4,4,3,2,4,1,2,3,1,2,1,1,1,4,2,1,1,3,3,3,3,1,3,3,4,5,4,3,2,4,3,1,3,3,4,2,1,3,3,1,1,1,1,1,1,2,3,3,3,2,2,4,4,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,3,3,3,1,5,5,5,3,4,4,4,2,1,1,1,1,1,1,3,4,4,4,3,2,,,,,,,,,,,,,3.4,3,3.25,1.66667,2.5,3,0,1,0,0,1,0,0,0,1,3,1,2,2.88889,2,1.14286,2.875,6,3,3.66667,1,3.6,2.9375,2.29167,3.46154,1.91429,1,5,1,4,2,2,3,4,2,5,3.11111,1.4,2.27273,3,4,2,1,1,1.5,0.153846,0.272727
1ETPD,não escreveu,23,1,1,Estância,2,19,masculino,pardo,2,5,4,4,2,3,3,4,4,2,3,3,3,2,3,3,3,3,2,3,4,2,5,1,1,4,1,1,5,5,5,3,5,2,5,3,4,3,2,2,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,2,,2,5,5,4,5,5,5,5,2,2,4,5,2,3,3,2,4,3,3,4,1,1,1,5,1,1,1,1,1,1,1,,,4.4,3.66667,2.5,3.33333,1.5,1,0,0,0,0,2,0,0,0,0,4,1.33333,2,3.44444,2.6875,1.42857,1,3,,4.22222,3.16667,3.2,3.1875,2.125,3.75,2.59841,1,4,1,2,2,4,3,3,2,2,2.55556,2.6,2.72727,1,1,1,2,1,1,0.153846,0.136364
!D,,24,1,1,Estância,2,17,feminino,pardo,2,5,2,3,4,4,2,2,2,2,1,1,1,1,1,1,3,5,3,3,4,4,2,1,2,1,5,2,4,5,5,1,5,5,1,5,1,5,4,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,4,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,3,5,4,2,5,4,3,5,5,5,3,5,5,5,5,5,5,5,1,4,4,,3,2,,1,5,5,1,1,1,1,1,1,,,3.2,4.66667,5,1,3,1,1,0,0,0,1,0,1,0,1,4.16667,2,2,2.88889,2.1875,1.28571,2.25,5,3.75,4.11111,5,,3,2.20833,4,3.14286,1,4,1,4,3,2,2,4,4,4,3.11111,2.8,1.90909,2,4,5,1,1,2,0.230769,0.227273
1ª etapa D,,25,1,1,Estância,2,18,feminino,pardo,2,5,2,3,4,4,2,3,2,2,1,1,1,1,1,1,3,5,3,2,3,3,2,1,2,1,5,2,4,5,5,1,5,5,1,5,1,5,4,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,4,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,3,5,4,2,5,4,3,5,5,5,3,5,5,5,5,5,5,5,1,4,4,,3,2,,1,5,5,1,1,1,1,1,1,1,,3.2,4.66667,5,1,3,1,1,0,0,0,1,0,1,1,0,4.16667,2,2,3,2,1.28571,2.25,5,3.75,4.11111,5,,3,2.08333,4,3.14286,1,4,1,4,3,2,2,4,3,4,3,2.6,1.72727,2,4,5,1,1,2,0.230769,0.227273
