Cidade,Sexo,cor_da_pele,Idade,Escala_1,Escala_2,Escala_5,Escala_8,Escala_10,Escala_11
CamBrito,masculino,Pardo,16.0,4,2.3125,1.14286,,,
CamBrito,masculino,Pardo,16.0,2.33333,1.6250,1.42857,3.00,2.33333,3.8
CamBrito,feminino,Pardo,16.0,2.66667,,3.57143,3.00,4.5,3.2
CamBrito,feminino,,16.0,1.88889,1.9375,1.28571,4.25,,
CamBrito,masculino,Branco,16.0,2.44444,,1,5.00,,
CamBrito,feminino,Branco,16.0,1,1.5625,1,1.50,1,4.2
CamBrito,masculino,Pardo,16.0,1.22222,1.1875,1,5.00,1,4.4
CamBrito,feminino,Pardo,16.0,1.22222,1.8750,1.28571,4.00,1.66667,3.6
CamBrito,masculino,Preto,16.0,1.88889,1.8125,1.28571,5.00,,3.2
CamBrito,masculino,Pardo,16.0,2,2.0000,1,4.50,1.33333,3.2
CamBrito,masculino,Pardo,16.0,,1.5625,,,,
CamBrito,feminino,Branco,16.0,1.88889,,1,1.00,1.16667,
CamBrito,masculino,Pardo,16.0,2,2.3125,1,3.25,1.83333,3.2
CamBrito,feminino,Pardo,16.0,3.33333,,1.42857,2.00,2,3.6
CamBrito,masculino,Preto,16.0,,1.8125,1,2.75,1.16667,4.0
CamBrito,masculino,Pardo,16.0,,3.5000,1.71429,2.00,2.66667,4.2
CamBrito,feminino,Pardo,16.0,3.11111,3.1875,2.28571,3.25,2.83333,2.6
CamBrito,feminino,Branco,16.0,,2.1875,1.14286,1.75,1,3.8
CamBrito,masculino,Pardo,16.0,3,2.3125,1.28571,4.25,3.5,3.8
CamBrito,masculino,,16.0,2,2.6250,2,2.00,1.83333,
CamBrito,feminino,Pardo,16.0,1.77778,,2.28571,2.50,2.5,2.8
CamBrito,feminino,Pardo,16.0,2,2.2500,1.42857,1.75,1.5,3.6
CamBrito,feminino,Pardo,16.0,2.44444,2.1875,,4.00,1.33333,3.6
CamBrito,feminino,Preto,16.0,2,1.8750,1.57143,5.00,1,3.8
CamBrito,feminino,Pardo,16.0,2.33333,1.8750,1.28571,2.25,2.16667,3.2
Carmo,masculino,Pardo,16.0,3.11111,,,3.25,1.33333,4.0
Carmo,feminino,,16.0,2,1.6250,1.57143,4.25,1.66667,4.4
Carmo,masculino,Pardo,16.0,2.55556,,2.28571,2.50,,1.6
Carmo,feminino,Preto,16.0,4.44444,3.0000,2.14286,2.50,,
Carmo,feminino,Pardo,16.0,2.33333,2.6250,1.85714,4.50,2,2.6
Carmo,feminino,,16.0,2.77778,1.5625,1.28571,1.00,2.66667,3.6
Carmo,feminino,Pardo,16.0,2.66667,2.3125,1.28571,1.75,1.16667,
Carmo,feminino,Branco,16.0,2.77778,2.6250,1.85714,3.50,4.33333,3.0
Carmo,feminino,Preto,16.0,3,2.3750,1,1.50,2.16667,4.2
Carmo,feminino,Pardo,16.0,2.66667,,1,2.75,1.5,3.0
Carmo,masculino,Branco,16.0,2.66667,,1.14286,1.25,2,4.0
Carmo,masculino,Pardo,16.0,2.44444,,1,1.25,1,
Carmo,masculino,Branco,16.0,3.66667,2.3125,1.85714,4.25,3.83333,2.2
Carmo,feminino,Pardo,16.0,2,1.4375,1,4.00,1,3.8
Carmo,masculino,Preto,16.0,,2.3750,1,1.00,1,1.0
Carmo,feminino,Pardo,16.0,4.33333,1.9375,1.85714,5.00,4.33333,3.0
Carmo,feminino,Preto,16.0,2.55556,1.8125,1,1.00,1.5,
Carmo,masculino,Preto,16.0,1.44444,1.1250,1,5.00,1,4.0
Carmo,feminino,Pardo,16.0,1.55556,1.6250,1.14286,1.50,1,3.6
Carmo,feminino,,16.0,1.77778,1.6875,,4.25,2.83333,2.8
Carmo,feminino,Branco,16.0,3.44444,,2.14286,,4,1.8
N.S. Dores,masculino,Pardo,16.0,2.77778,2.3750,1.42857,2.50,3,2.2
N.S. Dores,feminino,Pardo,16.0,2.11111,2.5000,1.71429,1.00,2.16667,2.8
N.S. Dores,feminino,Pardo,16.0,2,2.3750,2.28571,1.00,2.16667,2.6
N.S. Dores,masculino,Preto,16.0,3.22222,2.4375,2.14286,2.50,3.66667,3.2
N.S. Dores,feminino,,16.0,3.44444,1.7500,1,3.25,,
N.S. Dores,masculino,Pardo,16.0,2.11111,2.3125,2.42857,3.00,,
N.S. Dores,feminino,Branco,16.0,2.44444,2.9375,2.14286,,1,
N.S. Dores,feminino,,16.0,1.77778,2.6250,3.14286,2.25,1,5.0
N.S. Dores,feminino,Pardo,16.0,3.44444,1.5000,1,4.00,3,3.2
N.S. Dores,feminino,Pardo,16.0,2.66667,1.5625,1,4.75,1.16667,4.6
N.S. Dores,feminino,,16.0,,,1,,2.16667,4.8
N.S. Dores,masculino,Branco,16.0,,1.3125,1,3.25,1,4.0
N.S. Dores,masculino,Pardo,16.0,2.22222,2.0000,1,4.00,2,4.4
N.S. Dores,feminino,Pardo,16.0,2.22222,2.0000,1.42857,4.25,1,3.6
N.S. Dores,feminino,Pardo,16.0,2.44444,1.6250,1,3.00,1.33333,3.8
N.S. Dores,,Pardo,16.0,,1.8750,,2.75,2.83333,2.2
N.S. Dores,masculino,Preto,16.0,,,2.71429,2.75,4.66667,
N.S. Dores,masculino,Pardo,16.0,2.22222,1.3125,1.57143,2.00,1,3.2
N.S. Dores,feminino,Branco,16.0,,1.7500,,3.50,1.16667,4.2
N.S. Dores,masculino,Pardo,16.0,1.88889,1.5000,1,3.50,1,3.8
N.S. Dores,masculino,Branco,16.0,2,2.6875,1.14286,3.50,3.33333,2.8
N.S. Dores,,Pardo,16.0,2.55556,3.0000,1,1.00,2.83333,
N.S. Dores,feminino,Pardo,16.0,,2.6875,1.28571,1.50,,2.8
N.S. Dores,masculino,Pardo,16.0,1,1.6250,1,4.25,1,1.8
Neópolis,masculino,Preto,16.0,2.11111,1.7500,1.28571,3.50,2.33333,2.8
Neópolis,feminino,Branco,16.0,1.66667,1.9375,1.14286,2.75,1,4.2
Neópolis,feminino,Preto,16.0,2.11111,1.7500,1.57143,4.25,1.33333,4.2
Neópolis,masculino,Branco,16.0,2.33333,1.8750,1.42857,3.50,2.5,3.2
Neópolis,masculino,Branco,16.0,,,1,4.00,1.83333,4.0
Neópolis,masculino,Pardo,16.0,2.22222,2.5000,1.57143,2.25,2.66667,3.0
Neópolis,masculino,Pardo,16.0,2.33333,1.7500,2.14286,2.25,3,2.2
Neópolis,feminino,Preto,16.0,1.55556,1.3750,1,4.50,1.5,3.2
Neópolis,masculino,,16.0,2.77778,2.2500,1.28571,2.75,2.83333,4.2
Neópolis,feminino,Pardo,16.0,2.33333,2.3750,1.71429,3.75,2.33333,2.6
Neópolis,masculino,Preto,16.0,2.55556,,1,3.75,2.66667,3.4
Neópolis,feminino,Pardo,16.0,1.55556,1.8750,1.28571,,2.16667,3.4
Neópolis,feminino,Pardo,16.0,2.22222,2.1875,1.57143,2.75,2.83333,3.2
Neópolis,feminino,Preto,16.0,2.55556,2.3750,1.14286,4.25,2.33333,4.4
Neópolis,feminino,Pardo,16.0,2.55556,,1.14286,2.25,1.66667,5.0
Neópolis,feminino,Preto,16.0,2.11111,2.8125,1,1.00,1.16667,2.6
Neópolis,feminino,Pardo,16.0,2.33333,2.1875,1,1.25,2.33333,3.4
Neópolis,feminino,Preto,16.0,2.77778,1.3125,1,2.50,2,4.0
Neópolis,feminino,Branco,16.0,,,1.71429,3.00,2.33333,
Neópolis,feminino,Preto,16.0,1.88889,,1,1.00,1,
Neópolis,masculino,Pardo,16.0,4.11111,1.8125,1.42857,,,
Neópolis,masculino,Branco,16.0,3.22222,2.4375,2.28571,2.50,2.83333,3.4
Neópolis,masculino,Branco,16.0,2.22222,1.2500,1.14286,5.00,2.5,2.4
Neópolis,feminino,Branco,16.0,3.33333,2.9375,2.57143,2.50,3,3.0
Neópolis,masculino,Pardo,16.0,,1.8750,1.71429,3.00,3.16667,2.6
Neópolis,feminino,Preto,16.0,2.11111,,1.42857,3.75,2.16667,3.2
Neópolis,masculino,Pardo,16.0,1.66667,1.3750,1,4.50,1.33333,3.4
Neópolis,masculino,Pardo,16.0,2.33333,1.8125,1.14286,3.00,3.16667,3.2
Neópolis,masculino,Preto,16.0,,,3.28571,2.25,3.16667,2.6
Neópolis,feminino,Preto,16.0,2.22222,2.3125,2.42857,1.00,1.66667,3.8
Neópolis,masculino,Pardo,16.0,2,1.7500,1.71429,4.00,2.83333,3.0
Neópolis,feminino,Pardo,16.0,2.66667,2.2500,1.28571,1.50,2.66667,2.4
Neópolis,masculino,Pardo,16.0,1.66667,1.4375,1,4.50,,4.6
Neópolis,feminino,Pardo,16.0,3.11111,2.5625,1.42857,2.25,4,1.6
Neópolis,masculino,Preto,16.0,3.33333,2.0000,2.71429,4.50,1.66667,3.8
Neópolis,feminino,,16.0,3,2.6250,2.14286,2.25,2.16667,1.8
Neópolis,feminino,Pardo,16.0,2.33333,1.5625,1,2.75,,3.4
Neópolis,,Preto,16.0,2.44444,1.6875,1.71429,4.50,,
Neópolis,masculino,Pardo,16.0,,,1,2.00,,1.2
Porto Folha,feminino,Branco,16.0,3.22222,2.0000,2.71429,3.75,2,2.4
Porto Folha,feminino,Branco,16.0,1.77778,2.2500,1.57143,2.75,2.33333,
Porto Folha,masculino,Branco,16.0,3,2.1250,1.28571,5.00,1.66667,3.2
Porto Folha,feminino,Branco,16.0,,1.6875,1,2.25,1,3.0
Porto Folha,masculino,Pardo,16.0,1.77778,1.3750,1,4.75,1.33333,4.6
Porto Folha,masculino,Pardo,16.0,2.44444,1.4375,1,4.00,2,4.8
Porto Folha,masculino,Pardo,16.0,2.11111,1.1875,1,4.75,1.33333,4.4
Porto Folha,feminino,Pardo,16.0,,,1.71429,1.00,2,1.0
Porto Folha,feminino,Pardo,16.0,2.33333,2.0000,1,2.75,1.66667,3.8
Porto Folha,masculino,Branco,16.0,3,1.6250,1,4.00,1.16667,3.0
Porto Folha,feminino,Preto,16.0,,1.8125,1,1.00,,
Porto Folha,feminino,Preto,16.0,,1.5625,1,3.25,1,3.4
Porto Folha,feminino,Preto,16.0,2.66667,,1.28571,1.00,2.66667,2.4
Porto Folha,masculino,Pardo,16.0,,,1.28571,3.75,3.16667,4.4
Porto Folha,masculino,Pardo,16.0,2.77778,2.0625,1,3.25,1.5,3.8
Porto Folha,feminino,Pardo,16.0,2.44444,1.7500,1,3.00,1,2.0
Porto Folha,feminino,Pardo,16.0,4,1.8750,1.85714,3.25,3,3.4
CamBrito,feminino,Pardo,16.0,2.33333,1.6875,1.71429,4.25,1.5,2.4
CamBrito,feminino,Preto,16.0,2.22222,1.5000,3,3.00,2,3.0
CamBrito,feminino,Pardo,16.0,1.88889,3.0000,3,2.75,3,2.0
CamBrito,masculino,Pardo,16.0,2.77778,1.6875,1,3.00,1.83333,3.2
Maruim,feminino,Pardo,16.0,3.77778,2.2500,2,1.00,2,4.0
Maruim,feminino,Branco,16.0,,2.9375,2.57143,1.00,1.66667,2.4
Maruim,masculino,Pardo,16.0,3.11111,2.8125,2.57143,3.00,1.5,4.2
Maruim,masculino,Pardo,16.0,2.44444,,2.28571,4.75,2.83333,3.0
Maruim,feminino,Pardo,16.0,,2.1875,1,1.00,1.33333,2.6
Maruim,masculino,Pardo,16.0,2.77778,2.2500,1.14286,1.00,2.83333,2.2
Maruim,feminino,Preto,16.0,3.22222,2.4375,2.14286,2.50,,2.2
Maruim,feminino,Preto,16.0,2.22222,2.6875,2.85714,2.50,,2.8
Maruim,feminino,Pardo,16.0,2.22222,1.8750,1.14286,1.25,1.66667,4.4
Maruim,masculino,Branco,16.0,2.66667,2.5000,1.28571,2.25,1.5,5.0
Maruim,feminino,Preto,16.0,3.22222,2.6250,1.85714,3.00,3,3.0
Maruim,masculino,Preto,16.0,2.44444,2.2500,1,3.50,5,
Maruim,feminino,Preto,16.0,2.22222,,1.57143,3.00,1.66667,4.0
Maruim,feminino,Preto,16.0,2.44444,2.2500,1,1.00,1,1.0
Maruim,feminino,Preto,16.0,3.33333,2.9375,2.57143,3.25,3,3.4
Maruim,feminino,Preto,16.0,3.33333,2.4375,1.57143,2.75,1.66667,3.2
Maruim,masculino,Preto,16.0,2.33333,1.7500,1.57143,5.00,1.5,4.4
Maruim,feminino,Pardo,16.0,1.88889,2.8750,1.42857,4.00,1.16667,3.6
Maruim,feminino,Branco,16.0,2.66667,,1.57143,1.00,2.66667,2.2
Maruim,masculino,Pardo,16.0,2,1.8750,1,3.50,4.66667,4.4
Maruim,masculino,Preto,16.0,3.55556,2.6250,1.85714,3.00,2.5,3.4
Maruim,masculino,,16.0,2.55556,2.6250,3.28571,3.00,4.66667,1.8
Maruim,feminino,Branco,16.0,2.55556,,2.28571,4.00,2.5,3.8
Maruim,feminino,Branco,16.0,3.33333,3.3125,3.28571,4.00,3.66667,3.8
Maruim,feminino,Branco,16.0,2.66667,,1,2.00,1.66667,2.6
Maruim,feminino,Branco,16.0,3.33333,2.2500,1.28571,2.75,1.66667,1.2
Maruim,feminino,Pardo,16.0,2.66667,3.0000,1.57143,3.00,1.5,2.6
Maruim,masculino,Pardo,16.0,3.66667,,1.42857,3.50,5,2.4
Maruim,feminino,Preto,16.0,3.22222,2.4375,2.71429,2.25,2.83333,3.0
Maruim,masculino,Pardo,16.0,,2.6875,1.42857,4.25,2.16667,3.2
Maruim,masculino,Preto,16.0,3.77778,3.1875,1.42857,3.00,2.16667,2.2
Maruim,masculino,Pardo,16.0,2.55556,2.3125,1.28571,4.00,3.83333,3.6
Maruim,masculino,Preto,16.0,1.55556,2.3125,1.14286,3.50,4.66667,
Maruim,feminino,Preto,16.0,2.55556,3.1875,2.28571,3.00,2.16667,4.0
Maruim,masculino,Pardo,16.0,3.66667,2.6250,2.14286,5.00,3.5,4.2
Maruim,feminino,Branco,16.0,2.88889,2.3125,2,2.25,4.83333,2.2
Maruim,feminino,,16.0,2.44444,1.6875,1,5.00,2,3.8
Maruim,feminino,Pardo,16.0,2.11111,2.3750,2.57143,2.00,2.33333,3.4
Maruim,feminino,Branco,16.0,,,,,1,
Maruim,feminino,Preto,16.0,3.33333,1.9375,1.14286,3.25,3.16667,3.0
Maruim,masculino,Pardo,16.0,2,1.2500,1,3.75,1.66667,3.6
Maruim,feminino,Preto,16.0,3.11111,2.2500,1,5.00,2.5,4.4
Maruim,feminino,Branco,16.0,2.66667,1.6875,1,2.25,,
Maruim,feminino,Branco,16.0,2.44444,3.3125,3,3.50,4,3.8
Maruim,masculino,Branco,16.0,3.44444,3.2500,2.85714,2.25,4.33333,3.0
Maruim,feminino,Pardo,16.0,,2.5625,2.42857,1.75,1.83333,
Canindé,feminino,Pardo,16.0,1.44444,1.3125,1.14286,3.50,1.33333,4.2
Canindé,masculino,Pardo,16.0,,1.6875,1,4.25,2.83333,4.0
Canindé,masculino,Pardo,16.0,2.88889,1.7500,1,1.25,2.66667,2.6
Canindé,feminino,Branco,16.0,2.33333,,1,2.75,2,4.0
Canindé,,Pardo,16.0,3.44444,2.3125,1,4.00,3.33333,2.4
Canindé,feminino,Branco,16.0,2.77778,,2.14286,5.00,3.5,2.2
Canindé,masculino,Pardo,16.0,3,2.1875,2,4.50,4,3.8
Canindé,feminino,Pardo,16.0,2.11111,1.8125,1,4.00,2.5,3.8
Canindé,masculino,,16.0,3.66667,1.7500,3.42857,2.50,5,1.6
Canindé,masculino,Branco,16.0,2,1.3750,1.14286,4.00,1.83333,4.4
Canindé,masculino,Pardo,16.0,2.33333,1.6250,1,3.50,1.5,4.0
Canindé,masculino,Pardo,16.0,1.66667,1.9375,2,,3.33333,2.0
Canindé,feminino,Pardo,16.0,1.66667,,1.14286,3.00,1.66667,3.6
Canindé,feminino,Branco,16.0,1.66667,1.8750,1,2.50,1.66667,4.0
Canindé,feminino,Preto,16.0,,,2,2.50,1.83333,4.0
Canindé,feminino,Preto,16.0,1.44444,1.6875,1.28571,2.50,1.33333,3.6
Canindé,masculino,Pardo,16.0,2,,2.42857,2.25,1.16667,4.8
Canindé,feminino,Pardo,16.0,1.44444,1.5625,1,3.25,1,4.2
Canindé,feminino,Pardo,16.0,1.66667,1.5000,1.57143,5.00,1.5,2.8
Canindé,masculino,Branco,16.0,2.88889,2.0000,1.57143,2.25,1,4.2
Canindé,feminino,Branco,16.0,2.22222,2.1875,1.14286,3.50,2.66667,3.4
Canindé,masculino,Pardo,16.0,,,1,3.75,1.83333,2.2
Canindé,feminino,Pardo,16.0,2.22222,1.9375,1,3.25,1.33333,3.6
Canindé,masculino,Pardo,16.0,,,1,4.50,,2.4
Canindé,masculino,Branco,16.0,3.55556,1.6875,1,2.00,2.66667,2.4
Canindé,feminino,Pardo,16.0,1.77778,1.4375,1.14286,3.50,1,4.4
Canindé,masculino,,16.0,2.55556,2.5000,1.14286,3.00,2.66667,3.2
Canindé,feminino,Pardo,16.0,2,2.3750,1.57143,3.25,2,4.6
Canindé,masculino,Branco,16.0,1.66667,1.5000,1,4.50,1.33333,3.4
Canindé,masculino,Pardo,16.0,2.55556,1.8750,1,4.00,2,2.4
Canindé,masculino,Pardo,16.0,2,1.7500,1.14286,4.00,1,3.6
Canindé,masculino,Pardo,16.0,2.44444,2.2500,2.57143,4.00,3.33333,2.0
Canindé,masculino,Branco,16.0,2.44444,2.3750,1.42857,4.00,3.5,2.4
Canindé,feminino,Pardo,16.0,1.77778,2.0625,1.85714,4.25,1.66667,2.4
Canindé,masculino,Pardo,16.0,1.88889,1.6250,1,3.25,1.33333,4.0
Canindé,masculino,Branco,16.0,1.44444,2.0000,1,4.00,2.5,4.4
Canindé,feminino,Pardo,16.0,2.22222,2.0625,1,1.75,3.16667,1.4
Canindé,feminino,Pardo,16.0,1.66667,,1.28571,3.00,1.33333,2.8
Canindé,masculino,Pardo,16.0,2.44444,1.2500,1,3.50,2.16667,2.6
Canindé,feminino,Pardo,16.0,2.11111,1.7500,1.57143,2.50,1.83333,3.4
Canindé,feminino,Preto,16.0,3.11111,1.6875,1,3.50,3.66667,2.2
Canindé,feminino,Pardo,16.0,3,1.3125,1,2.00,1,4.8
Aracaju,feminino,Preto,16.0,3.22222,2.6875,1.57143,4.00,1.66667,1.4
Aracaju,feminino,Preto,16.0,3.22222,2.6875,1.57143,4.00,1.66667,1.4
Aracaju,feminino,Branco,16.0,,3.3750,3,4.25,4.5,1.2
Aracaju,masculino,Pardo,16.0,3.11111,,1.57143,2.75,1,2.0
Aracaju,feminino,Pardo,16.0,2.44444,2.0625,1.42857,3.50,1.83333,4.2
Aracaju,masculino,Pardo,16.0,2.22222,1.8750,1.14286,4.00,2.16667,1.2
Aracaju,masculino,Branco,16.0,1.88889,2.1875,1.42857,,1.83333,3.2
Aracaju,masculino,Pardo,16.0,2,2.2500,1.14286,2.50,1.33333,4.8
Aracaju,masculino,Pardo,16.0,3,2.8750,2.14286,,,1.2
Aracaju,masculino,Pardo,16.0,2.44444,2.0000,1.71429,4.00,,3.8
Aracaju,masculino,,16.0,2.55556,1.9375,1.28571,3.50,1.5,4.0
Aracaju,masculino,Branco,16.0,2.33333,2.0625,1,2.75,1.83333,2.8
Aracaju,feminino,Preto,16.0,2.55556,2.3125,1.57143,4.00,1.66667,1.8
Aracaju,masculino,Preto,16.0,3.44444,,1.57143,4.75,3.16667,1.2
Aracaju,feminino,Preto,16.0,2.66667,,1.14286,3.25,1.66667,3.8
Aracaju,masculino,Branco,16.0,2.66667,2.5625,1.28571,4.50,3,3.6
Aracaju,feminino,Pardo,16.0,3.11111,,2.14286,1.25,2.16667,4.0
Aracaju,masculino,,16.0,2.33333,2.5000,1.57143,1.75,,3.6
Aracaju,masculino,,16.0,3,,2.14286,3.50,3.16667,1.0
Aracaju,feminino,Preto,16.0,2.22222,2.6875,1.42857,4.00,2.83333,1.0
Aracaju,masculino,Preto,16.0,3.55556,3.0000,2,3.75,3.33333,3.4
Aracaju,feminino,Branco,16.0,,1.8125,1,,,
Aracaju,feminino,Preto,16.0,3,2.5000,1.42857,3.75,2,2.0
Aracaju,masculino,Branco,16.0,2.55556,3.5000,,5.00,3.83333,1.6
Aracaju,masculino,Branco,16.0,1.33333,2.1250,1.71429,2.25,1.33333,4.4
Aracaju,masculino,Pardo,16.0,4.11111,3.0000,2.71429,2.75,2.33333,2.6
Aracaju,masculino,Branco,16.0,3,2.3750,2.28571,3.50,1.66667,4.6
Aracaju,masculino,Branco,16.0,2.66667,2.0000,1,2.75,1.33333,4.4
Aracaju,masculino,Preto,16.0,3.33333,3.0000,2.14286,2.00,3.66667,4.4
Aracaju,feminino,Pardo,16.0,2.66667,3.2500,1.71429,1.50,2,1.6
Aracaju,masculino,Preto,16.0,2.33333,3.5625,1.57143,3.00,1,4.6
Aracaju,feminino,Pardo,16.0,1.66667,3.1250,1.71429,3.25,1.83333,2.2
Aracaju,masculino,Branco,16.0,3.11111,2.3125,1.28571,4.50,1.5,2.6
Aracaju,feminino,Pardo,16.0,4.77778,3.4375,2.57143,3.00,5,1.0
Aracaju,masculino,Preto,16.0,3.77778,3.0000,,2.75,1.83333,2.0
Estância,masculino,Pardo,15.0,2.66667,2.0000,1.14286,1.25,2.16667,1.6
Estância,feminino,Pardo,15.0,2.88889,2.6250,1.71429,2.00,1.66667,3.0
Estância,feminino,Branco,15.0,2.55556,2.0625,1.28571,4.00,2.5,2.4
Estância,feminino,Pardo,15.0,2.55556,2.3125,1.28571,3.50,1.5,3.2
Estância,masculino,Pardo,15.0,3.88889,2.8125,1.14286,2.00,4.66667,3.2
Estância,masculino,Pardo,15.0,2.55556,2.6875,1.42857,3.50,2.83333,2.0
Estância,feminino,Pardo,15.0,2.77778,2.3125,2,4.00,2.5,
Estância,feminino,Preto,15.0,3,2.6875,1.85714,3.00,2.33333,2.4
Estância,masculino,Pardo,15.0,2.22222,1.9375,1,4.00,1.33333,3.4
Estância,masculino,Branco,15.0,2,2.3125,2.14286,4.50,2.5,2.4
Estância,masculino,Pardo,15.0,2.11111,2.9375,3,,3,3.0
Estância,feminino,Branco,15.0,2.44444,3.0625,1.28571,5.00,1,4.0
Estância,masculino,Pardo,15.0,2.77778,1.3750,2.71429,2.50,2.83333,2.0
Estância,masculino,Pardo,15.0,2.22222,2.1250,2.28571,4.25,2.33333,3.8
Estância,masculino,Branco,15.0,3.22222,2.1250,2.28571,3.75,2.16667,2.8
Estância,,Preto,15.0,2.66667,1.5625,2.42857,3.00,1.83333,1.6
Estância,masculino,Pardo,15.0,2.66667,3.0000,1.57143,4.50,1.83333,3.0
Estância,masculino,Branco,15.0,3.11111,3.0000,1.57143,5.00,1.5,3.0
Estância,feminino,Branco,15.0,1.88889,1.2500,1,5.00,1,3.2
Estância,masculino,Pardo,15.0,2,1.4375,1,3.75,1.16667,3.4
Estância,masculino,Pardo,15.0,1.88889,1.4375,1,3.25,1.33333,3.4
Estância,feminino,Preto,15.0,2.77778,2.6875,1,2.50,2.33333,3.4
Estância,feminino,Preto,15.0,,1.6250,1,4.25,2,4.2
Estância,masculino,Branco,15.0,1.66667,,,1.25,,
Estância,masculino,Preto,15.0,4,2.7500,2.85714,2.75,2.83333,2.6
Estância,feminino,Pardo,15.0,2.11111,3.3750,2.14286,1.25,1.33333,2.6
Estância,feminino,Pardo,15.0,2.11111,2.9375,2.71429,1.25,1.33333,3.2
Estância,masculino,Pardo,15.0,3.33333,2.6875,1.28571,2.25,2.5,2.2
Estância,masculino,Branco,15.0,2.55556,2.9375,1.57143,3.00,3.33333,1.2
Estância,feminino,Preto,15.0,1.66667,2.6875,1.28571,1.75,1,3.8
Estância,masculino,Pardo,15.0,2,1.1875,1,5.00,2.83333,3.6
Estância,feminino,Pardo,15.0,2,1.4375,1,4.50,1,3.6
Estância,masculino,Pardo,15.0,2.44444,2.7500,1.28571,3.25,1.5,3.0
Estância,feminino,Pardo,15.0,1.88889,1.8750,1,4.50,1.16667,4.4
Estância,masculino,Pardo,15.0,2.11111,1.7500,1,2.25,2.83333,4.6
Estância,masculino,Branco,15.0,2,1.3125,1,4.50,1,3.8
Estância,masculino,Preto,15.0,2.77778,1.3750,1,4.00,2.66667,2.6
Estância,feminino,Branco,15.0,2.66667,2.0625,1.14286,1.00,1,3.0
Estância,feminino,,15.0,2.66667,1.6250,1,1.00,1,4.2
Estância,masculino,Preto,15.0,2.66667,,1.42857,,,3.0
Estância,masculino,Preto,15.0,2.11111,1.8125,1,2.00,1,2.8
Estância,feminino,Preto,15.0,2.33333,1.9375,1,1.75,1.83333,3.4
Estância,masculino,Preto,15.0,3.88889,3.3125,2.28571,4.00,3.66667,2.8
Estância,masculino,Preto,15.0,,1.8750,1,2.00,1,2.0
Estância,masculino,Pardo,15.0,3.66667,2.7500,1.28571,3.00,3.16667,2.4
Estância,feminino,Pardo,15.0,2.22222,2.2500,1,1.00,2.16667,3.4
Estância,feminino,Pardo,15.0,2.44444,2.9375,3.14286,2.00,1.5,2.4
Estância,masculino,Branco,15.0,2.33333,,2.14286,4.25,3.33333,2.8
Estância,feminino,Preto,15.0,,,,2.75,,1.0
Estância,feminino,Preto,15.0,2.11111,1.8750,1,4.00,1,3.4
Estância,masculino,Pardo,15.0,2.66667,2.1875,1,3.25,5,1.4
Estância,masculino,Preto,15.0,2.44444,2.3125,1,2.25,1.83333,2.4
Estância,feminino,Preto,15.0,2.66667,,1.57143,4.50,1,4.4
Estância,feminino,Preto,15.0,2.77778,2.3125,3.28571,3.25,2,
Estância,feminino,Preto,15.0,3,,1.14286,2.25,1,3.2
Estância,masculino,Preto,15.0,3.66667,,1.28571,4.00,4.83333,1.2
Estância,masculino,Branco,15.0,2.66667,2.2500,2,3.75,4.16667,2.2
Estância,feminino,Pardo,15.0,1.44444,2.0000,1.14286,4.25,1.16667,4.2
Estância,feminino,Pardo,15.0,,2.3750,2,5.00,3.16667,3.2
Estância,masculino,Preto,15.0,,2.5000,,4.50,2.66667,2.8
Estância,masculino,Preto,15.0,3.11111,1.3125,1,5.00,3,2.4
Estância,feminino,Pardo,15.0,1.66667,2.0625,1,3.50,1.16667,2.6
Estância,feminino,Pardo,15.0,2.22222,1.8125,1,4.25,3.5,2.8
Estância,feminino,Pardo,15.0,1.88889,1.9375,1.28571,4.25,1.83333,4.0
Estância,masculino,Preto,15.0,3.44444,1.8125,1.28571,2.25,1.5,2.8
Estância,masculino,Pardo,15.0,3.11111,2.0625,1.28571,3.00,1.5,4.6
Estância,masculino,Branco,15.0,2,1.4375,1.14286,3.75,1.16667,3.8
Estância,masculino,Pardo,15.0,3.33333,1.7500,1.57143,3.00,1.16667,3.0
Estância,masculino,Branco,15.0,1.55556,1.3750,1.14286,5.00,1,4.6
Estância,feminino,Preto,15.0,2.33333,1.3750,1.71429,3.25,1,3.6
Estância,feminino,Pardo,15.0,2.77778,2.0000,1.42857,2.00,2,3.6
Estância,feminino,Pardo,15.0,2.66667,2.6250,1.57143,2.75,1.83333,2.8
Estância,feminino,Pardo,15.0,2.33333,2.0000,1.28571,2.50,,2.8
Estância,feminino,Pardo,15.0,1.77778,1.5625,1,4.00,1.33333,4.6
Estância,masculino,Pardo,15.0,2,1.5000,1.28571,4.25,2,3.4
Estância,masculino,Pardo,15.0,2.55556,1.8750,1.28571,4.00,2,3.0
Estância,masculino,Pardo,15.0,2.33333,1.8125,2,5.00,2.66667,3.2
Estância,feminino,Preto,15.0,2.88889,,1.28571,1.00,1,3.4
Estância,feminino,Pardo,15.0,3.55556,,1,3.75,1,5.0
Estância,masculino,Preto,15.0,3.11111,2.3750,2.42857,2.75,1.5,
Estância,feminino,Pardo,15.0,3.55556,2.3125,1,2.00,2.66667,2.6
Estância,masculino,Pardo,15.0,3.44444,2.1875,2,3.00,3.33333,2.6
Estância,feminino,Pardo,15.0,2.44444,1.9375,1,3.25,1.83333,3.8
Estância,feminino,Preto,15.0,2.22222,1.9375,1,3.50,2.83333,4.0
