Cidade,Sexo,cor_da_pele,Idade,Escala_1,Escala_2,Escala_5,Escala_8,Escala_10,Escala_11
Carmo,feminino,,17.0,3.66667,,,,,
Carmo,feminino,Pardo,17.0,2,2.4375,1.14286,4.25,1,1.0
Carmo,feminino,Pardo,17.0,3,2.0625,1,,,
Carmo,feminino,Pardo,17.0,1.88889,2.3125,1.42857,3.75,1.83333,3.0
Carmo,feminino,Pardo,17.0,3.55556,1.9375,1.71429,1.50,5,3.4
Carmo,feminino,Pardo,17.0,2.88889,2.4375,1,2.75,2.33333,2.2
Carmo,masculino,Pardo,17.0,2.22222,2.3750,2.14286,,2.83333,4.0
Carmo,feminino,,17.0,1.55556,2.0000,1.71429,3.00,3.5,3.8
Carmo,feminino,Pardo,17.0,1.88889,2.6250,3.42857,1.00,3.33333,3.0
Carmo,masculino,Branco,17.0,3.11111,,1,4.00,3.16667,2.4
Carmo,feminino,Branco,17.0,2.77778,1.6250,1,4.00,,3.2
Carmo,feminino,,17.0,1.77778,2.3125,1,,1.83333,
Carmo,feminino,Preto,17.0,,2.6250,1,1.00,3,2.4
Carmo,feminino,Pardo,17.0,2.88889,2.9375,1,2.75,3,3.0
Carmo,masculino,Branco,17.0,,3.1250,2.42857,1.75,5,1.0
Carmo,feminino,,17.0,3.33333,2.3125,1,1.00,2,2.2
Carmo,feminino,Pardo,17.0,2.33333,2.1875,1,3.25,1.16667,2.6
Carmo,masculino,Pardo,17.0,1.33333,,1,5.00,1,4.2
N.S. Dores,masculino,Pardo,17.0,,1.8125,1.85714,1.75,2.33333,1.6
N.S. Dores,masculino,Pardo,17.0,2.11111,2.1250,1,2.75,1.83333,4.2
N.S. Dores,masculino,Preto,17.0,2.11111,2.3125,2,4.75,3.33333,3.0
N.S. Dores,feminino,Preto,17.0,,2.3750,1.71429,3.50,3.83333,3.0
N.S. Dores,masculino,,17.0,2.11111,,1.14286,2.50,4.5,3.0
N.S. Dores,feminino,Pardo,17.0,1.77778,1.6875,1.14286,4.75,1.83333,3.8
N.S. Dores,feminino,Branco,17.0,1.55556,2.1875,1.57143,4.00,1.33333,4.2
N.S. Dores,feminino,Pardo,17.0,2.66667,2.0000,1,2.00,1.16667,3.2
N.S. Dores,feminino,Pardo,17.0,,1.5625,1.14286,1.00,1.16667,3.6
N.S. Dores,feminino,Pardo,17.0,1.55556,1.8750,1,1.25,1,3.4
N.S. Dores,feminino,Pardo,17.0,2,2.5000,1.42857,3.75,1.33333,3.6
N.S. Dores,,Pardo,17.0,1.88889,1.6875,1.14286,3.50,2.16667,2.6
